6,3/23/2017,13:40:6
0,3/23/2017,13:41:53,24.00,72.90,353
5,3/23/2017,13:41:53
6,3/23/2017,13:42:6
0,3/23/2017,13:43:53,24.00,73.50,363
5,3/23/2017,13:43:53
6,3/23/2017,13:44:6
0,3/23/2017,13:45:53,24.00,73.30,350
5,3/23/2017,13:45:53
6,3/23/2017,13:46:6
0,3/23/2017,13:47:53,24.00,73.30,357
5,3/23/2017,13:47:53
6,3/23/2017,13:48:6
0,3/23/2017,13:49:53,24.00,73.40,352
5,3/23/2017,13:49:53
6,3/23/2017,13:50:6
1,3/23/2017,13:50:49
2,3/23/2017,13:51:49,176.00
0,3/23/2017,13:51:53,24.10,73.10,358
5,3/23/2017,13:51:53
6,3/23/2017,13:52:6
0,3/23/2017,13:53:53,24.10,73.10,354
5,3/23/2017,13:53:53
6,3/23/2017,13:54:6
0,3/23/2017,13:55:53,24.10,73.40,360
5,3/23/2017,13:55:53
6,3/23/2017,13:56:6
0,3/23/2017,13:57:53,24.10,73.40,358
5,3/23/2017,13:57:53
6,3/23/2017,13:58:6
0,3/23/2017,13:59:53,24.10,73.40,353
5,3/23/2017,13:59:53
6,3/23/2017,14:0:6
0,3/23/2017,14:1:53,24.10,73.70,350
5,3/23/2017,14:1:53
6,3/23/2017,14:2:6
0,3/23/2017,14:3:53,24.10,73.60,349
5,3/23/2017,14:3:53
6,3/23/2017,14:4:6
1,3/23/2017,14:5:49
0,3/23/2017,14:5:53,24.10,74.10,353
5,3/23/2017,14:5:53
6,3/23/2017,14:6:6
2,3/23/2017,14:6:49,174.00
0,3/23/2017,14:7:53,24.10,73.70,342
5,3/23/2017,14:7:53
6,3/23/2017,14:8:6
0,3/23/2017,14:9:53,24.10,73.40,345
5,3/23/2017,14:9:53
6,3/23/2017,14:10:6
0,3/23/2017,14:11:53,24.10,73.80,348
5,3/23/2017,14:11:53
6,3/23/2017,14:12:6
0,3/23/2017,14:13:53,24.10,74.00,339
5,3/23/2017,14:13:53
6,3/23/2017,14:14:6
0,3/23/2017,14:15:53,24.10,73.60,339
5,3/23/2017,14:15:53
6,3/23/2017,14:16:6
0,3/23/2017,14:17:53,24.10,74.20,343
5,3/23/2017,14:17:53
6,3/23/2017,14:18:6
0,3/23/2017,14:19:53,24.10,74.40,350
5,3/23/2017,14:19:53
6,3/23/2017,14:20:6
1,3/23/2017,14:20:49
2,3/23/2017,14:21:49,172.80
0,3/23/2017,14:21:53,24.10,74.60,347
5,3/23/2017,14:21:53
6,3/23/2017,14:22:6
0,3/23/2017,14:23:53,24.10,74.50,355
5,3/23/2017,14:23:53
6,3/23/2017,14:24:6
0,3/23/2017,14:25:53,24.10,74.50,348
5,3/23/2017,14:25:53
6,3/23/2017,14:26:6
0,3/23/2017,14:27:53,24.10,74.70,360
5,3/23/2017,14:27:53
6,3/23/2017,14:28:6
0,3/23/2017,14:29:53,24.10,75.00,353
5,3/23/2017,14:29:53
6,3/23/2017,14:30:6
0,3/23/2017,14:31:53,24.10,74.70,357
5,3/23/2017,14:31:53
6,3/23/2017,14:32:6
0,3/23/2017,14:33:53,24.10,74.50,367
5,3/23/2017,14:33:53
6,3/23/2017,14:34:6
1,3/23/2017,14:35:49
0,3/23/2017,14:35:53,24.10,74.40,356
5,3/23/2017,14:35:53
6,3/23/2017,14:36:6
2,3/23/2017,14:36:49,180.40
0,3/23/2017,14:37:53,24.10,75.00,351
5,3/23/2017,14:37:53
6,3/23/2017,14:38:6
0,3/23/2017,14:39:53,24.10,74.60,350
5,3/23/2017,14:39:53
6,3/23/2017,14:40:6
0,3/23/2017,14:41:53,24.10,74.80,358
5,3/23/2017,14:41:53
6,3/23/2017,14:42:6
0,3/23/2017,14:43:53,24.10,74.80,357
5,3/23/2017,14:43:53
6,3/23/2017,14:44:6
0,3/23/2017,14:45:53,24.10,75.00,357
5,3/23/2017,14:45:53
6,3/23/2017,14:46:6
0,3/23/2017,14:47:53,24.10,75.10,362
5,3/23/2017,14:47:53
6,3/23/2017,14:48:6
0,3/23/2017,14:49:53,24.10,75.30,363
5,3/23/2017,14:49:53
6,3/23/2017,14:50:6
1,3/23/2017,14:50:49
2,3/23/2017,14:51:49,170.53
0,3/23/2017,14:51:53,24.10,74.70,357
5,3/23/2017,14:51:53
6,3/23/2017,14:52:6
0,3/23/2017,14:53:53,24.10,75.00,361
5,3/23/2017,14:53:53
6,3/23/2017,14:54:6
0,3/23/2017,14:55:53,24.10,75.50,357
5,3/23/2017,14:55:53
6,3/23/2017,14:56:6
0,3/23/2017,14:57:53,24.10,74.90,359
5,3/23/2017,14:57:53
6,3/23/2017,14:58:6
0,3/23/2017,14:59:53,24.10,75.30,352
5,3/23/2017,14:59:53
6,3/23/2017,15:0:6
0,3/23/2017,15:1:53,24.10,75.40,356
5,3/23/2017,15:1:53
6,3/23/2017,15:2:6
0,3/23/2017,15:3:53,24.10,74.30,357
5,3/23/2017,15:3:53
6,3/23/2017,15:4:6
1,3/23/2017,15:5:49
0,3/23/2017,15:5:53,24.10,74.00,354
5,3/23/2017,15:5:53
6,3/23/2017,15:6:6
2,3/23/2017,15:6:49,171.60
0,3/23/2017,15:7:53,24.10,74.90,358
5,3/23/2017,15:7:53
6,3/23/2017,15:8:6
0,3/23/2017,15:9:53,24.10,74.70,347
5,3/23/2017,15:9:53
6,3/23/2017,15:10:6
0,3/23/2017,15:11:53,24.10,74.60,351
5,3/23/2017,15:11:53
6,3/23/2017,15:12:6
0,3/23/2017,15:13:53,24.10,75.00,352
5,3/23/2017,15:13:53
6,3/23/2017,15:14:6
0,3/23/2017,15:15:53,24.10,74.90,357
5,3/23/2017,15:15:53
6,3/23/2017,15:16:6
0,3/23/2017,15:17:53,24.10,74.80,351
5,3/23/2017,15:17:53
6,3/23/2017,15:18:6
0,3/23/2017,15:19:53,24.10,74.20,346
5,3/23/2017,15:19:53
6,3/23/2017,15:20:6
1,3/23/2017,15:20:49
2,3/23/2017,15:21:49,176.40
0,3/23/2017,15:21:53,24.10,74.70,345
5,3/23/2017,15:21:53
6,3/23/2017,15:22:6
0,3/23/2017,15:23:53,24.10,74.80,348
5,3/23/2017,15:23:53
6,3/23/2017,15:24:6
0,3/23/2017,15:25:53,24.10,74.70,358
5,3/23/2017,15:25:53
6,3/23/2017,15:26:6
0,3/23/2017,15:27:53,24.10,74.90,354
5,3/23/2017,15:27:53
6,3/23/2017,15:28:6
0,3/23/2017,15:29:53,24.10,75.00,352
5,3/23/2017,15:29:53
6,3/23/2017,15:30:6
0,3/23/2017,15:31:53,24.10,74.80,350
5,3/23/2017,15:31:53
6,3/23/2017,15:32:6
0,3/23/2017,15:33:53,24.10,75.20,347
5,3/23/2017,15:33:53
6,3/23/2017,15:34:6
1,3/23/2017,15:35:49
0,3/23/2017,15:35:53,24.10,74.70,356
5,3/23/2017,15:35:53
6,3/23/2017,15:36:6
2,3/23/2017,15:36:49,178.53
