0,3/4/2017,7:58:11,29.9,30.8,1325
0,3/4/2017,8:00:11,29.9,30.7,1067
5,3/4/2017,8:00:11,,,
6,3/4/2017,8:00:19,,,
0,3/4/2017,8:02:11,30,30.6,-1
0,3/4/2017,8:04:11,30,30.6,1054
5,3/4/2017,8:04:11,,,
6,3/4/2017,8:04:19,,,
1,3/4/2017,8:06:10,,,
0,3/4/2017,8:06:11,30.1,30.4,1307
2,3/4/2017,8:07:10,,,
0,3/4/2017,8:08:11,30.1,30.4,1037
5,3/4/2017,8:08:11,,,
6,3/4/2017,8:08:19,,,
0,3/4/2017,8:10:11,30.2,30.1,1311
0,3/4/2017,8:12:11,30.2,30.1,1060
5,3/4/2017,8:12:11,,,
6,3/4/2017,8:12:19,,,
0,3/4/2017,8:14:11,30.3,30,1311
0,3/4/2017,8:16:11,30.3,29.9,1035
5,3/4/2017,8:16:11,,,
6,3/4/2017,8:16:19,,,
0,3/4/2017,8:18:11,30.4,29.9,1295
0,3/4/2017,8:20:11,30.4,29.9,1043
5,3/4/2017,8:20:11,,,
6,3/4/2017,8:20:19,,,
1,3/4/2017,8:21:10,,,
2,3/4/2017,8:22:10,,,
0,3/4/2017,8:22:11,30.5,29.6,1278
0,3/4/2017,8:24:11,30.5,29.6,1016
5,3/4/2017,8:24:11,,,
6,3/4/2017,8:24:19,,,
0,3/4/2017,8:26:11,30.5,29.5,1271
0,3/4/2017,8:28:11,30.5,29.4,1005
5,3/4/2017,8:28:11,,,
6,3/4/2017,8:28:19,,,
0,3/4/2017,8:30:11,30.5,29.4,1278
0,3/4/2017,8:32:11,30.5,29.4,1022
5,3/4/2017,8:32:11,,,
6,3/4/2017,8:32:19,,,
0,3/4/2017,8:34:11,30.5,29.5,1303
1,3/4/2017,8:36:10,,,
0,3/4/2017,8:36:11,30.5,29.5,1033
5,3/4/2017,8:36:11,,,
6,3/4/2017,8:36:19,,,
2,3/4/2017,8:37:10,,,
0,3/4/2017,8:38:11,30.6,29.5,1294
0,3/4/2017,8:40:11,30.6,29.3,1023
5,3/4/2017,8:40:11,,,
6,3/4/2017,8:40:19,,,
0,3/4/2017,8:42:11,30.6,29.2,1274
0,3/4/2017,8:44:11,30.6,29.2,997
5,3/4/2017,8:44:11,,,
6,3/4/2017,8:44:19,,,
0,3/4/2017,8:46:11,30.6,29.2,1263
0,3/4/2017,8:48:11,30.6,29.2,1003
5,3/4/2017,8:48:11,,,
6,3/4/2017,8:48:19,,,
0,3/4/2017,8:50:11,30.6,29.2,1269
1,3/4/2017,8:51:10,,,
2,3/4/2017,8:52:10,,,
0,3/4/2017,8:52:11,30.6,29.2,992
5,3/4/2017,8:52:11,,,
6,3/4/2017,8:52:19,,,
0,3/4/2017,8:54:11,30.6,29.1,1279
0,3/4/2017,8:56:11,30.6,29.1,994
5,3/4/2017,8:56:11,,,
6,3/4/2017,8:56:19,,,
0,3/4/2017,8:58:11,30.6,29.1,1274
0,3/4/2017,9:00:11,30.6,29.1,995
5,3/4/2017,9:00:11,,,
